annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Energy,reviewed_Curiosity,reviewed_Intimacy,reviewer_id,review_status,reviewer_notes
first40,train,first40-0012,B,"Oh okay, awesome. Awesome. So I'm going to choose the second restaurant, please.",,,,,pending,
first40,train,first40-0017,B,How do I select the present,,,,,pending,
first40,train,first40-0016,B,Do you have a nandakkena denim jacket,,,,,pending,
first40,train,first40-0014,B,Do you know Cherokee,,,,,pending,
first40,train,first40-0035,B,"Excellent. How are the reviews for Buca di Beppo, is it generally positive?",,,,,pending,
first40,train,first40-0005,B,But you definitely get a specific instruction.,,,,,pending,
first40,train,first40-0023,B,Does that mean I'm up?,,,,,pending,
first40,train,first40-0025,B,"Yes, did you get the time?",,,,,pending,
first40,train,first40-0010,B,"That'd be fantastic. Can you please let me know what the total will be, please? I want extra cheese on all four, please.",,,,,pending,
first40,train,first40-0024,B,shall we hear from Marketing first?,,,,,pending,
first40,train,first40-0036,B,we definitely know that um it's gonna be a simple buttons,,,,,pending,
first40,train,first40-0031,B,But the most important thing is that it looks great,,,,,pending,
first40,train,first40-0034,B,Great. How long is the trip?,,,,,pending,
first40,train,first40-0020,B,Oh and do you have any bro brochure for the tour,,,,,pending,
first40,train,first40-0030,B,Yeah. That'd be great. There You said there was a four something. How about that one?,,,,,pending,
first40,train,first40-0002,B,"Oh, that would be brilliant.",,,,,pending,
first40,train,first40-0032,B,"Uhm Before that, I really hate hated",,,,,pending,
first40,train,first40-0011,B,Awesome. Could you book that for me?,,,,,pending,
first40,train,first40-0003,B,and I think that those are things after my research that we definitely wanna try to incorporate.,,,,,pending,
first40,train,first40-0037,B,It doesn't really matter.,,,,,pending,
first40,train,first40-0009,B,And then otherwise I ha I can't go to the airport So please,,,,,pending,
first40,train,first40-0040,B,Er do you know,,,,,pending,
first40,train,first40-0039,B,they are very excited and that that attitude was very different from Japanese people,,,,,pending,
first40,train,first40-0001,B,we are using it,,,,,pending,
first40,train,first40-0038,B,What is the other chip for? The one on top.,,,,,pending,
first40,train,first40-0033,B,And and this that makes um my parents angry,,,,,pending,
first40,train,first40-0022,B,What kind of type,,,,,pending,
first40,train,first40-0015,B,well can you ask anyone any anybody else like er some professionals,,,,,pending,
first40,train,first40-0007,B,awful incident um concerning myself,,,,,pending,
first40,train,first40-0019,B,Are you free on this weekend,,,,,pending,
first40,train,first40-0013,B,Hey. How's it going? Have you ever heard of a movie called Captive State?,,,,,pending,
first40,train,first40-0027,B,Cool. That's a cool cast.,,,,,pending,
first40,train,first40-0004,B,"and, you know, channel selection and volume selection are absolutely essential",,,,,pending,
first40,train,first40-0028,B,I'm doing great. How about yourself?,,,,,pending,
first40,train,first40-0021,B,can I bring it back,,,,,pending,
first40,train,first40-0008,B,It's very urr fantastic and interesting,,,,,pending,
first40,train,first40-0026,B,"Okay, great. Is there a third option?",,,,,pending,
first40,train,first40-0018,B,Erm And how are you,,,,,pending,
first40,train,first40-0006,B,erm I don't need to think about er difficult topics when I see the love story,,,,,pending,
first40,train,first40-0029,B,That's great. Could you please book that for me?,,,,,pending,
