review_set,review_id,utterance,previous_turn,next_turn,reviewed_Energy,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
train,train-0001,"Yeah I'm I'm no I'm not definitely convinced it's it's the best way to if you wanna jump from, I dunno, one to twenty?",but maybe it will be too fast.,"Oh yeah, that's difficult. That's dif that's difficult.",,,,pending,
train,train-0002,awful incident um concerning myself,"This is a picture sequence from number one through six. Could you tell me about this story, and it was one day last week.",I see. Thank you very much.,,,,pending,
train,train-0003,Urr I love dog But I can't take it home,O K. What will you do if you find a puppy left on the street?,Uhm .,,,,pending,
train,train-0004,Hey. How's it going? Have you ever heard of a movie called Captive State?,"hi, how can i help you?","i have not heard of that, would you like to see it?",,,,pending,
train,train-0005,Awesome. Could you book that for me?,"yes, it looks like they will be able to see you at 3pm tomorrow.","sure, i'll book that now.",,,,pending,
train,train-0006,we are using it,Yeah,W,,,,pending,
train,train-0007,Oh great! Fantastic. Thank you.,got it. your driver will be there in 5 minutes.,"you're welcome, bye!",,,,pending,
train,train-0008,"I want to uhm I can enjoy I can't enjoy matsuri , but I can enjoy sports uhm or uhm so I I don't know why people uh excited in matsuri","O K. Then, how about the matsuri ?",Ahh O K .,,,,pending,
train,train-0009,Fantastic. Okay. Sounds good. Thank you.,that's correct.,"you're welcome, have a safe trip.",,,,pending,
train,train-0010,"Fantastic, do they offer craft bear at that option?","john's grill is described as a Steaks & seafood offered in an old-school, wood-paneled space with photos of famous past patrons.",it doesn't look like they have a small selection of local craft beers.,,,,pending,
train,train-0011,That's why I love UNIQLO,Umm . I see. Erm . Are there any more good points in UNIQLO? ?,"Umm . I see. O K. Now,",,,,pending,
train,train-0012,"Um so uum of course, er I love him and I I was crying heavily",Um .,Oh sad,,,,pending,
train,train-0013,But it's very eeh fantastic city for me,Uhu .,Uhu .,,,,pending,
train,train-0014,But we definitely want the thing to be a special colour though.,Grey and rubber.,Of plastic.,,,,pending,
