annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
calibration,dev,calibration-0004,B,I've got some other things,,,,,,,pending,
calibration,dev,calibration-0020,B,We have a uh great location we live in great location to see and to take a picture,,,,,,,pending,
calibration,dev,calibration-0026,B,"But, most er comparing to stay hotel, it is uncomfortable but it was uncomfortable But, anyway the silence is great",,,,,,,pending,
calibration,dev,calibration-0024,B,"And there is many there are many, many fishes, corals So so fantastic",,,,,,,pending,
calibration,dev,calibration-0032,B,We love we love my our car,,,,,,,pending,
calibration,dev,calibration-0045,B,Are we all good to go? Awesome. Thank you so much.,,,,,,,pending,
calibration,dev,calibration-0002,B,I think most definitely.,,,,,,,pending,
calibration,dev,calibration-0030,B,What time is best for you,,,,,,,pending,
calibration,dev,calibration-0029,B,And actually the flower is er always that there are a lot of flowers in Bali Island So the smell is really nice So I love to be in Bali,,,,,,,pending,
calibration,dev,calibration-0038,B,"Nope, that will be all. Oh. Oh, yes. Actually, can you tell me who stars in the film?",,,,,,,pending,
calibration,dev,calibration-0011,B,"Maybe we'll discuss this later, no?",,,,,,,pending,
calibration,dev,calibration-0035,B,Can we do tomorrow in the afternoon?,,,,,,,pending,
calibration,dev,calibration-0018,B,"Also, I I I like to spent or ah no no no no, I I I love shopping",,,,,,,pending,
calibration,dev,calibration-0003,B,Digital pen is horrible.,,,,,,,pending,
calibration,dev,calibration-0036,B,I'm going to eat at Le Beau today. Can I get their phone number?,,,,,,,pending,
calibration,dev,calibration-0044,B,Can you book me a ticket for The Kid Who Would Be King?,,,,,,,pending,
calibration,dev,calibration-0008,B,so we can save on the batteries,,,,,,,pending,
calibration,dev,calibration-0047,B,Could I have some whipped cream on top? That'd be great.,,,,,,,pending,
calibration,dev,calibration-0013,B,So uh any any thoughts?,,,,,,,pending,
calibration,dev,calibration-0041,B,"Great. Before you go, can you tell me who the director is of the movie?",,,,,,,pending,
calibration,dev,calibration-0023,B,I I hate choice of mm products,,,,,,,pending,
calibration,dev,calibration-0027,B,"So, what time do you want to go there",,,,,,,pending,
calibration,dev,calibration-0010,B,which make it uh like new also.,,,,,,,pending,
calibration,dev,calibration-0022,B,then Ken hit the back of the motor cycle and the man who was on the motor cycle was very angry about that And they both argued,,,,,,,pending,
calibration,dev,calibration-0017,B,"It's not great like Japan, or eh it's a small city",,,,,,,pending,
calibration,dev,calibration-0019,B,"I'll look around other corners, so, would you please negotiate your manager",,,,,,,pending,
calibration,dev,calibration-0012,B,or shall we leave that for now?,,,,,,,pending,
calibration,dev,calibration-0037,B,"No, could you please give me the address?",,,,,,,pending,
calibration,dev,calibration-0014,B,'cause you haven't drawn the ears?,,,,,,,pending,
calibration,dev,calibration-0043,B,Thank you so much for your help. I appreciate that. Have a wonderful weekend.,,,,,,,pending,
calibration,dev,calibration-0034,B,"Okay, great. Now, who directed the movie called War?",,,,,,,pending,
calibration,dev,calibration-0048,B,What type of ride is it?,,,,,,,pending,
calibration,dev,calibration-0007,B,"and provide you ways of using them, I dunno, somehow",,,,,,,pending,
calibration,dev,calibration-0006,B,you think it won't cost an Not a lot for us?,,,,,,,pending,
calibration,dev,calibration-0033,B,Can you repeat the address to me?,,,,,,,pending,
calibration,dev,calibration-0016,B,It's definitely significantly harder once you are doing it.,,,,,,,pending,
calibration,dev,calibration-0025,B,"And I'm really sorry but if there's another chance to go, then I would definitely want to go, too",,,,,,,pending,
calibration,dev,calibration-0028,B,And what time is it convenient for you,,,,,,,pending,
calibration,dev,calibration-0039,B,Hi. Could you help me with setting up an appointment at Intelligent auto imports?,,,,,,,pending,
calibration,dev,calibration-0015,B,Supposed to have a great memory,,,,,,,pending,
calibration,dev,calibration-0001,B,"And also um I will ask the Market Expert to uh try to find out what are the absolute requirements, what is absolutely needed in a remote control uh for the user.",,,,,,,pending,
calibration,dev,calibration-0021,B,I think so I definitely,,,,,,,pending,
calibration,dev,calibration-0040,B,I'm doing great. How are you doing?,,,,,,,pending,
calibration,dev,calibration-0031,B,So they they always ask me to from simple question or um very difficult question I do I don't know,,,,,,,pending,
calibration,dev,calibration-0042,B,"Fantastic. No, that's fine. I got that, thank you.",,,,,,,pending,
calibration,dev,calibration-0005,B,Um there are two target audi audiences,,,,,,,pending,
calibration,dev,calibration-0009,B,"If we try to tell people it has too many great features, um the consumer just gets confused and we don't get anywhere.",,,,,,,pending,
calibration,dev,calibration-0046,B,"Oh, that's great. And could you tell me if the restaurants have serve alcohol?",,,,,,,pending,
