review_set,review_id,utterance,source,source_group,source_record_id,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
train,train-0001,I think are you are you maybe kind of thinking what we absolutely have to have and what would be nice?,ami_real,ES2002b,ES2002b.B.dialog-act.dharshi.77,,,,,,,pending,
train,train-0002,which ones are we going to scratch definitely?,ami_real,TS3012d,TS3012d.B.dialog-act.vkaraisk.177,,,,,,,pending,
train,train-0003,I though it was brilliant no?,ami_real,ES2011d,ES2011d.D.dialog-act.dharshi.181,,,,,,,pending,
train,train-0004,"Well, do you wanna maybe just, at this point decide on what we absolutely must have as a p as a function of this.",ami_real,ES2002b,ES2002b.B.dialog-act.dharshi.80,,,,,,,pending,
train,train-0005,"Yeah I'm I'm no I'm not definitely convinced it's it's the best way to if you wanna jump from, I dunno, one to twenty?",ami_real,IS1003d,IS1003d.D.dialog-act.dharshi.86,,,,,,,pending,
train,train-0006,"Uh, okay, definitely easy to use.",ami_real,IS1004d,IS1004d.B.dialog-act.dharshi.120,,,,,,,pending,
train,train-0007,I hate I hate looking at a control and seeing a million tiny little buttons with tiny little words saying what they all do,ami_real,ES2004a,ES2004a.B.dialog-act.s9553330.131,,,,,,,pending,
train,train-0008,"Has to be so great that they're gonna say, uh twenty five Euros isn't much.",ami_real,IS1009b,IS1009b.D.dialog-act.dharshi.95,,,,,,,pending,
train,train-0009,So that could be a great um application.,ami_real,IS1006a,IS1006a.A.dialog-act.dharshi.60,,,,,,,pending,
train,train-0010,I think it's a it's a great animal.,ami_real,TS3006a,TS3006a.B.dialog-act.vkaraisk.30,,,,,,,pending,
train,train-0011,"Be what we were told, and they'd say yeah, definitely.",ami_real,ES2016d,ES2016d.C.dialog-act.dharshi.108,,,,,,,pending,
train,train-0012,we definitely priced out a spongy even spongier non-natural look um materials,ami_real,ES2009d,ES2009d.C.dialog-act.vkaraisk.63,,,,,,,pending,
train,train-0013,You love the eyes.,ami_real,IS1003a,IS1003a.A.dialog-act.vkaraisk.92,,,,,,,pending,
train,train-0014,I'd say definitely a one yeah.,ami_real,ES2012d,ES2012d.B.dialog-act.vkaraisk.79,,,,,,,pending,
train,train-0015,so um I would say that they are definitely less relevant.,ami_real,ES2013b,ES2013b.C.dialog-act.vkaraisk.113,,,,,,,pending,
train,train-0016,get great popularity for our product.,ami_real,TS3003c,TS3003c.D.dialog-act.vkaraisk.56,,,,,,,pending,
train,train-0017,"If we try to tell people it has too many great features, um the consumer just gets confused and we don't get anywhere.",ami_real,IS1009c,IS1009c.D.dialog-act.dharshi.78,,,,,,,pending,
train,train-0018,Yeah. Isn't it amazing.,ami_real,TS3010c,TS3010c.A.dialog-act.dharshi.12,,,,,,,pending,
train,train-0019,"No, but definitely better, much better than uh than uh than avera average, yeah.",ami_real,TS3004d,TS3004d.A.dialog-act.dharshi.173,,,,,,,pending,
train,train-0020,but the designers thought they were great.,ami_real,ES2006a,ES2006a.C.dialog-act.s9553330.185,,,,,,,pending,
