annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Energy,reviewed_Curiosity,reviewed_Intimacy,reviewer_id,review_status,reviewer_notes
first40,train,first40-0014,A,Do you know Cherokee,,,,,pending,
first40,train,first40-0015,A,well can you ask anyone any anybody else like er some professionals,,,,,pending,
first40,train,first40-0022,A,What kind of type,,,,,pending,
first40,train,first40-0010,A,"That'd be fantastic. Can you please let me know what the total will be, please? I want extra cheese on all four, please.",,,,,pending,
first40,train,first40-0033,A,And and this that makes um my parents angry,,,,,pending,
first40,train,first40-0028,A,I'm doing great. How about yourself?,,,,,pending,
first40,train,first40-0024,A,shall we hear from Marketing first?,,,,,pending,
first40,train,first40-0009,A,And then otherwise I ha I can't go to the airport So please,,,,,pending,
first40,train,first40-0018,A,Erm And how are you,,,,,pending,
first40,train,first40-0038,A,What is the other chip for? The one on top.,,,,,pending,
first40,train,first40-0036,A,we definitely know that um it's gonna be a simple buttons,,,,,pending,
first40,train,first40-0020,A,Oh and do you have any bro brochure for the tour,,,,,pending,
first40,train,first40-0019,A,Are you free on this weekend,,,,,pending,
first40,train,first40-0027,A,Cool. That's a cool cast.,,,,,pending,
first40,train,first40-0023,A,Does that mean I'm up?,,,,,pending,
first40,train,first40-0002,A,"Oh, that would be brilliant.",,,,,pending,
first40,train,first40-0032,A,"Uhm Before that, I really hate hated",,,,,pending,
first40,train,first40-0005,A,But you definitely get a specific instruction.,,,,,pending,
first40,train,first40-0026,A,"Okay, great. Is there a third option?",,,,,pending,
first40,train,first40-0013,A,Hey. How's it going? Have you ever heard of a movie called Captive State?,,,,,pending,
first40,train,first40-0037,A,It doesn't really matter.,,,,,pending,
first40,train,first40-0003,A,and I think that those are things after my research that we definitely wanna try to incorporate.,,,,,pending,
first40,train,first40-0016,A,Do you have a nandakkena denim jacket,,,,,pending,
first40,train,first40-0029,A,That's great. Could you please book that for me?,,,,,pending,
first40,train,first40-0025,A,"Yes, did you get the time?",,,,,pending,
first40,train,first40-0021,A,can I bring it back,,,,,pending,
first40,train,first40-0006,A,erm I don't need to think about er difficult topics when I see the love story,,,,,pending,
first40,train,first40-0040,A,Er do you know,,,,,pending,
first40,train,first40-0017,A,How do I select the present,,,,,pending,
first40,train,first40-0030,A,Yeah. That'd be great. There You said there was a four something. How about that one?,,,,,pending,
first40,train,first40-0001,A,we are using it,,,,,pending,
first40,train,first40-0012,A,"Oh okay, awesome. Awesome. So I'm going to choose the second restaurant, please.",,,,,pending,
first40,train,first40-0031,A,But the most important thing is that it looks great,,,,,pending,
first40,train,first40-0007,A,awful incident um concerning myself,,,,,pending,
first40,train,first40-0035,A,"Excellent. How are the reviews for Buca di Beppo, is it generally positive?",,,,,pending,
first40,train,first40-0011,A,Awesome. Could you book that for me?,,,,,pending,
first40,train,first40-0039,A,they are very excited and that that attitude was very different from Japanese people,,,,,pending,
first40,train,first40-0008,A,It's very urr fantastic and interesting,,,,,pending,
first40,train,first40-0034,A,Great. How long is the trip?,,,,,pending,
first40,train,first40-0004,A,"and, you know, channel selection and volume selection are absolutely essential",,,,,pending,
