annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
calibration,dev,calibration-0069,D,Can you repeat the address to me?,,,,,,,pending,
calibration,dev,calibration-0003,D,"Yeah, definitely. Just bring more designs on the market.",,,,,,,pending,
calibration,dev,calibration-0056,D,"Oh great And you know, uum on December first,",,,,,,,pending,
calibration,dev,calibration-0029,D,Supposed to have a great memory,,,,,,,pending,
calibration,dev,calibration-0034,D,Oh I like it I love it,,,,,,,pending,
calibration,dev,calibration-0080,D,Thank you so much for your help. I appreciate that. Have a wonderful weekend.,,,,,,,pending,
calibration,dev,calibration-0084,D,Could I have some whipped cream on top? That'd be great.,,,,,,,pending,
calibration,dev,calibration-0010,D,which is something that definitely appeals to younger people.,,,,,,,pending,
calibration,dev,calibration-0011,D,And and we're gonna make it we're gonna win mind-share by uh either being a fantastic product,,,,,,,pending,
calibration,dev,calibration-0046,D,I I hate choice of mm products,,,,,,,pending,
calibration,dev,calibration-0065,D,"Okay. Do I need to reserve certain seats, or is this just open seating?",,,,,,,pending,
calibration,dev,calibration-0085,D,What type of ride is it?,,,,,,,pending,
calibration,dev,calibration-0005,D,"It was, wasn't it?",,,,,,,pending,
calibration,dev,calibration-0064,D,"That sounds great. Can we please go start making a to book a reservation, please?",,,,,,,pending,
calibration,dev,calibration-0020,D,you think it won't cost an Not a lot for us?,,,,,,,pending,
calibration,dev,calibration-0021,D,"and provide you ways of using them, I dunno, somehow",,,,,,,pending,
calibration,dev,calibration-0078,D,"Great. Before you go, can you tell me who the director is of the movie?",,,,,,,pending,
calibration,dev,calibration-0052,D,And actually the flower is er always that there are a lot of flowers in Bali Island So the smell is really nice So I love to be in Bali,,,,,,,pending,
calibration,dev,calibration-0088,D,Have a great day. Bye.,,,,,,,pending,
calibration,dev,calibration-0081,D,Can you book me a ticket for The Kid Who Would Be King?,,,,,,,pending,
calibration,dev,calibration-0013,D,"And also um I will ask the Market Expert to uh try to find out what are the absolute requirements, what is absolutely needed in a remote control uh for the user.",,,,,,,pending,
calibration,dev,calibration-0047,D,"And there is many there are many, many fishes, corals So so fantastic",,,,,,,pending,
calibration,dev,calibration-0059,D,But um luxurious food is very uum expensive for me,,,,,,,pending,
calibration,dev,calibration-0009,D,but what if it was kind of uh a stylised banana?,,,,,,,pending,
calibration,dev,calibration-0015,D,I think most definitely.,,,,,,,pending,
calibration,dev,calibration-0002,D,"It's definitely channel, volume, power.",,,,,,,pending,
calibration,dev,calibration-0079,D,"Fantastic. No, that's fine. I got that, thank you.",,,,,,,pending,
calibration,dev,calibration-0058,D,So she so her heart is ah very mm excited then,,,,,,,pending,
calibration,dev,calibration-0012,D,"Uh, okay, definitely easy to use.",,,,,,,pending,
calibration,dev,calibration-0049,D,"But, most er comparing to stay hotel, it is uncomfortable but it was uncomfortable But, anyway the silence is great",,,,,,,pending,
calibration,dev,calibration-0006,D,Do we really need that?,,,,,,,pending,
calibration,dev,calibration-0033,D,"Yeah, I will absolutely be there",,,,,,,pending,
calibration,dev,calibration-0014,D,"Yes. Yes, yes this is Yes definitely a horse. Yes.",,,,,,,pending,
calibration,dev,calibration-0038,D,I will have my hair cut,,,,,,,pending,
calibration,dev,calibration-0042,D,"I'll look around other corners, so, would you please negotiate your manager",,,,,,,pending,
calibration,dev,calibration-0040,D,"It's not great like Japan, or eh it's a small city",,,,,,,pending,
calibration,dev,calibration-0072,D,I'm going to eat at Le Beau today. Can I get their phone number?,,,,,,,pending,
calibration,dev,calibration-0028,D,'cause you haven't drawn the ears?,,,,,,,pending,
calibration,dev,calibration-0031,D,"urm so ee when I watch the movie, ee I am excited",,,,,,,pending,
calibration,dev,calibration-0090,D,Yeah. How long does the trip take normally?,,,,,,,pending,
calibration,dev,calibration-0089,D,"Okay, how long will the trip be? Okay, great. Thank you so much.",,,,,,,pending,
calibration,dev,calibration-0076,D,Yes. Who directed the movie?,,,,,,,pending,
calibration,dev,calibration-0050,D,"So, what time do you want to go there",,,,,,,pending,
calibration,dev,calibration-0027,D,So uh any any thoughts?,,,,,,,pending,
calibration,dev,calibration-0070,D,"Okay, great. Now, who directed the movie called War?",,,,,,,pending,
calibration,dev,calibration-0071,D,Can we do tomorrow in the afternoon?,,,,,,,pending,
calibration,dev,calibration-0008,D,then we'll come back to the chip I suppose.,,,,,,,pending,
calibration,dev,calibration-0036,D,"already take trains ev everyday in weekdays So, I hate",,,,,,,pending,
calibration,dev,calibration-0073,D,"No, could you please give me the address?",,,,,,,pending,
calibration,dev,calibration-0039,D,I love Ca Canada very much,,,,,,,pending,
calibration,dev,calibration-0007,D,and I get to do another fantastic PowerPoint presentation.,,,,,,,pending,
calibration,dev,calibration-0001,D,that you can usually do that with uh either a old old remote control if they really hate that thing,,,,,,,pending,
calibration,dev,calibration-0083,D,"Oh, that's great. And could you tell me if the restaurants have serve alcohol?",,,,,,,pending,
calibration,dev,calibration-0030,D,It's definitely significantly harder once you are doing it.,,,,,,,pending,
calibration,dev,calibration-0053,D,What time is best for you,,,,,,,pending,
calibration,dev,calibration-0004,D,"But um, I think the logo would definitely be recognisable.",,,,,,,pending,
calibration,dev,calibration-0074,D,"Nope, that will be all. Oh. Oh, yes. Actually, can you tell me who stars in the film?",,,,,,,pending,
calibration,dev,calibration-0067,D,"Great, do they have a reservation?",,,,,,,pending,
calibration,dev,calibration-0041,D,"Also, I I I like to spent or ah no no no no, I I I love shopping",,,,,,,pending,
calibration,dev,calibration-0063,D,Awesome. Thank you so much.,,,,,,,pending,
calibration,dev,calibration-0057,D,And they er he mm he has a computer and and er so great stereo set,,,,,,,pending,
calibration,dev,calibration-0055,D,We love we love my our car,,,,,,,pending,
calibration,dev,calibration-0048,D,"And I'm really sorry but if there's another chance to go, then I would definitely want to go, too",,,,,,,pending,
