annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
calibration,dev,calibration-0045,A,then Ken hit the back of the motor cycle and the man who was on the motor cycle was very angry about that And they both argued,,,,,,,pending,
calibration,dev,calibration-0051,A,And what time is it convenient for you,,,,,,,pending,
calibration,dev,calibration-0084,A,Could I have some whipped cream on top? That'd be great.,,,,,,,pending,
calibration,dev,calibration-0012,A,"Uh, okay, definitely easy to use.",,,,,,,pending,
calibration,dev,calibration-0075,A,Hi. Could you help me with setting up an appointment at Intelligent auto imports?,,,,,,,pending,
calibration,dev,calibration-0038,A,I will have my hair cut,,,,,,,pending,
calibration,dev,calibration-0024,A,which make it uh like new also.,,,,,,,pending,
calibration,dev,calibration-0079,A,"Fantastic. No, that's fine. I got that, thank you.",,,,,,,pending,
calibration,dev,calibration-0087,A,Great. Could I get a black and white mocha?,,,,,,,pending,
calibration,dev,calibration-0015,A,I think most definitely.,,,,,,,pending,
calibration,dev,calibration-0054,A,So they they always ask me to from simple question or um very difficult question I do I don't know,,,,,,,pending,
calibration,dev,calibration-0070,A,"Okay, great. Now, who directed the movie called War?",,,,,,,pending,
calibration,dev,calibration-0033,A,"Yeah, I will absolutely be there",,,,,,,pending,
calibration,dev,calibration-0022,A,so we can save on the batteries,,,,,,,pending,
calibration,dev,calibration-0049,A,"But, most er comparing to stay hotel, it is uncomfortable but it was uncomfortable But, anyway the silence is great",,,,,,,pending,
calibration,dev,calibration-0021,A,"and provide you ways of using them, I dunno, somehow",,,,,,,pending,
calibration,dev,calibration-0082,A,Are we all good to go? Awesome. Thank you so much.,,,,,,,pending,
calibration,dev,calibration-0085,A,What type of ride is it?,,,,,,,pending,
calibration,dev,calibration-0058,A,So she so her heart is ah very mm excited then,,,,,,,pending,
calibration,dev,calibration-0062,A,"Great, thank you. Please process my order.",,,,,,,pending,
calibration,dev,calibration-0017,A,I've got some other things,,,,,,,pending,
calibration,dev,calibration-0089,A,"Okay, how long will the trip be? Okay, great. Thank you so much.",,,,,,,pending,
calibration,dev,calibration-0078,A,"Great. Before you go, can you tell me who the director is of the movie?",,,,,,,pending,
calibration,dev,calibration-0047,A,"And there is many there are many, many fishes, corals So so fantastic",,,,,,,pending,
calibration,dev,calibration-0023,A,"If we try to tell people it has too many great features, um the consumer just gets confused and we don't get anywhere.",,,,,,,pending,
calibration,dev,calibration-0044,A,I think so I definitely,,,,,,,pending,
calibration,dev,calibration-0028,A,'cause you haven't drawn the ears?,,,,,,,pending,
calibration,dev,calibration-0013,A,"And also um I will ask the Market Expert to uh try to find out what are the absolute requirements, what is absolutely needed in a remote control uh for the user.",,,,,,,pending,
calibration,dev,calibration-0016,A,Digital pen is horrible.,,,,,,,pending,
