review_set,review_id,utterance,previous_turn,next_turn,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
gold,gold-0001,"Um the flat co completely flat case is definitely out, right?",yeah.,Yeah,,,,,,,pending,
gold,gold-0002,"and uh, what can you say, you got to love those qualities in an animal.",they're snotty as hell at the best of times,Right.,,,,,,,pending,
gold,gold-0003,or is that a bit ridiculous?,Mm-hmm.,I I don't see why not,,,,,,,pending,
gold,gold-0004,which may not be a great idea in Europe or any country that has seasons 'cause half the year you'd be dead.,Yeah.,"So like what I said, you probably need like a battery and something else.",,,,,,,pending,
gold,gold-0005,"Um, and the rubber case requires rubber buttons, so if we definitely want plastic buttons, we shouldn't have a rubber case.",because it can only be used in the flat cases and it's really heavy.,And why not wood?,,,,,,,pending,
gold,gold-0006,So I think that basically we've got a great product and we can get off and running with it.,so I would say that we got to a five out of seven on on functionality.,Okay.,,,,,,,pending,
gold,gold-0007,Uh as you all know we're here to create a brand new fantastic remote.,I'll just put that there.,Uh I'm Nick Debusk,,,,,,,pending,
gold,gold-0008,And I think the voice recognition sounds wonderful,Mm-hmm.,but our object is so distinctive,,,,,,,pending,
gold,gold-0009,"But it would definitely crop cost, a lot.",I think that would be like the end of our usability.,D,,,,,,,pending,
gold,gold-0010,Takes a little while to get excited to load.,Hold on.,the Excel thing is pretty cool.,,,,,,,pending,
gold,gold-0011,I introduce to the world the amazing ant.,I'm supposed to draw the animal next.,Uh hard worker.,,,,,,,pending,
gold,gold-0012,"If it's kinda small, this is is great.",It depends on the size.,"But if it's it's larger, then you want to grab it.",,,,,,,pending,
gold,gold-0013,I mean mm we we definitely need the the numbers,"No, no",The numbers.,,,,,,,pending,
gold,gold-0014,"I think I think it's great, yeah, great idea.","I mean uh and that's um, you know, that's just something",Do you think it says R_R_?,,,,,,,pending,
gold,gold-0015,I love it. I love it. I think it's cool.,The sort of using of the the pens and writing on these special pads and all that?,Being all wired up and a vibrating pen and it's cool.,,,,,,,pending,
gold,gold-0016,I mean there's also the cachet that um uh the Japanese make great products.,Well,their industrial design is very good.,,,,,,,pending,
gold,gold-0017,Um we should definitely avoid the big square block look.,possibly hidden in the the opened up section,That's just wrong.,,,,,,,pending,
gold,gold-0018,I think we should definitely go ahead with the alarm system idea that you had.,Yeah.,Mm-hmm.,,,,,,,pending,
gold,gold-0019,You with your brilliant ideas.,Slap it.,I don't know if I can touch the power button.,,,,,,,pending,
gold,gold-0020,It is more trendy. That's definitely true.,And I would say take a yellow cover and black buttons.,I think we should th,,,,,,,pending,
gold,gold-0021,That's a great elk.,cows.,"Uh-oh, we have a good artist.",,,,,,,pending,
gold,gold-0022,so we're definitely going for rubber.,Okay,It could be a c it could be a cover.,,,,,,,pending,
gold,gold-0023,this is definitely the best one.,Oh,Uh.,,,,,,,pending,
gold,gold-0024,This would definitely be different enough,Mm.,across the b you would have so many different options that you could do,,,,,,,pending,
gold,gold-0025,I think definitely doing something different,That's my idea.,Yeah.,,,,,,,pending,
gold,gold-0026,but it sounds fantastic.,I've never come across it before,Mm-hmm.,,,,,,,pending,
gold,gold-0027,which is an awful lot,"because then a numeric keypad would come in at um what, four point five Euros",so that could well be wrong.,,,,,,,pending,
gold,gold-0028,but that one is terrible.,"Okay, alright.",I I sent it about three times now.,,,,,,,pending,
gold,gold-0029,I think that's brilliant.,Yeah,Right,,,,,,,pending,
gold,gold-0030,"Just nice feel, but I hate spongy.",Mm.,Yeah,,,,,,,pending,
gold,gold-0031,but it's not absolutely necessary.,"As for the um as for the single curve, um well this edge and this edge, like I say it would be nice to have some curvature to it",Really the curve that's most needed is the underside,,,,,,,pending,
gold,gold-0032,I think that's definitely important.,when we were talking about having it be a modern cool look,Um they say that current remote controls do not match well the operating behaviour of the user.,,,,,,,pending,
gold,gold-0033,"Are they difficult to understand, or maybe they don't interact with different kind of uh equipment very well?",Yes.,Hmm.,,,,,,,pending,
gold,gold-0034,"what can we accomplish, um, given these parameters that we're just gonna sort of have this kind of uh non-remote remote.","Nathan, I'd like you to work on just the basic look and feel","Um, what are our broad constraints before we deve design a prototype.",,,,,,,pending,
gold,gold-0035,"Could you write the words, uh underneath it?",Anything else you need to know?,Oh,,,,,,,pending,
gold,gold-0036,Did you guys uh get that one down?,Okay.,Mm-hmm.,,,,,,,pending,
gold,gold-0037,"'Kay we've already decided that we don't need a teletext button, haven't we?",Okay.,Uh.,,,,,,,pending,
gold,gold-0038,"So uh Pet Peter, can you talk say something about that?",maybe now we can talk about a user interface and uh about the technical function of this device.,"Well, okay, yeah.",,,,,,,pending,
gold,gold-0039,"I was thinking, moving your thumb like this, what does that remind me of?",I was try,Yeah.,,,,,,,pending,
gold,gold-0040,Is it possible to open pen drawings in this uh on this screen?,Okay.,No no no.,,,,,,,pending,
gold,gold-0041,"So that's David, Andrew and Craig, isn't it?",Oh I have to record who's here actually.,And you all arrived on time.,,,,,,,pending,
gold,gold-0042,The target group. Is the remote really for the group we're making it for?,And the cost.,And recognability. If our company is If it is easily recognisable that our company made it?,,,,,,,pending,
gold,gold-0043,"So what exactly we are looking at, is this like the front of the remote?","Um the chip and of course the infra-red bulb, so it can communicate with the various devices that it needs to talk to.",This is just like a rough schematic.,,,,,,,pending,
gold,gold-0044,"Volume up. Volume down. Change the channel, you know channel up, channel down?",would you want to keep saying stuff if you were watching stuff.,Yeah.,,,,,,,pending,
gold,gold-0045,and then I wonder if it's if it's more just a gimmick then anything else.,Yeah.,Uh I mean,,,,,,,pending,
gold,gold-0046,"Okay, anything else we wanna discuss?",Um.,"Well, do we wanna include the numbers like zero through nine?",,,,,,,pending,
gold,gold-0047,"Uh, button supplement special colour?",Mm-hmm.,Speci,,,,,,,pending,
gold,gold-0048,What do you say?,I'll give it a one.,I'd say a two.,,,,,,,pending,
gold,gold-0049,Hundred million uh remotes or something?,Like how much?,"Uh I think uh w when the selling price is twenty five, uh uh you got two million, two million remotes.",,,,,,,pending,
gold,gold-0050,do you need to add anything?,Yes master.,No.,,,,,,,pending,
gold,gold-0051,That's your uh prototype model?,So that's pretty much it for our presentation actually.,Yeah.,,,,,,,pending,
gold,gold-0052,Do we have both sides?,"Well, you could do some on both sides.",Can we?,,,,,,,pending,
gold,gold-0053,"It isn't, I think, yeah?","Uh, is it possible uh of is it necessary to make a touch-screen square?","Well, m I don't know. No.",,,,,,,pending,
gold,gold-0054,For our base one?,I kind of like that look.,"Yeah, for the base",,,,,,,pending,
gold,gold-0055,what's the selling price?,But we could couldn't uh what,Fifty?,,,,,,,pending,
gold,gold-0056,Uh what uh I have to do?,That's the first slide.,Okay so uh presently I am looking what is possible to use,,,,,,,pending,
gold,gold-0057,Just down here? Yeah.,"Right, um where did you find this?",Okay.,,,,,,,pending,
gold,gold-0058,"There is? Yeah, there is.",Uh maybe during the discussion uh section?,Okay.,,,,,,,pending,
gold,gold-0059,"So we have forty minutes to discuss and uh finalise and close the product and project and to move further, okay",and uh production evaluation. Then uh closing.,"Okay, let's talk about uh maybe first uh for the prototype.",,,,,,,pending,
gold,gold-0060,It bounces back from the floor where you throw it.,Yeah.,Yeah.,,,,,,,pending,
gold,gold-0061,if you buy it uh separately from your phone it's probably expensive,Yeah,Ah yeah.,,,,,,,pending,
gold,gold-0062,"Okay, so now uh we're moving on to finance",Oops.,okay.,,,,,,,pending,
gold,gold-0063,we can stick with what we've already got.,Mm.,In a lot other ways too.,,,,,,,pending,
gold,gold-0064,That's what I was just saying,"Yeah, yeah but you can do it with your thumb li",and then have the and then have the L_C_D_ at the top,,,,,,,pending,
gold,gold-0065,Uh got a single curved uh rubber,And then,f uh fancy coloured remote control.,,,,,,,pending,
gold,gold-0066,So that they're separate a bit,Okay.,yeah.,,,,,,,pending,
gold,gold-0067,but mostly that's relatively peripheral functions.,and of course there is a certain amount of sort of loss of function here obviously,And so you go for something that's fairly intuitive to use,,,,,,,pending,
gold,gold-0068,"Do you know, uhm I love movies, don't you",Uh-huh .,Yes. I do know about it. Uh-huh .,,,,,,,pending,
gold,gold-0069,So hum I love to watch uh action or lo mm kind of uh um kind of uh maybe almost,Yeah?,I see . O K. Good.,,,,,,,pending,
gold,gold-0070,"I I was very willing to I was excited I was excited about the party and I hope you wo would er set up another, you know, um teriyaki party or yakiniku party",Hmm .,Mh-hmm . Oh of course.,,,,,,,pending,
gold,gold-0071,And then the bike man was really angry because the the car the his bike was broken and and his cell phone was also broken,"O K. One day last week, a man was driving",O K.,,,,,,,pending,
gold,gold-0072,So after all it was a great weekend although um there was a lot of happenings,Hm .,Hm . O K. Thank you.,,,,,,,pending,
gold,gold-0073,And he he he looks that something happened but he's not he's not serious So I was very angry with him,Right.,O K. Thank you very much.,,,,,,,pending,
gold,gold-0074,some fantastic or some er I think this movie that movie was very umm adventurous movie And they saw,"Er one day last week, er .",Mhm .,,,,,,,pending,
gold,gold-0075,And ur it was a great it was a great fun to talk with people abroad and er to know things I don't know,Uhmm . How did you enjoy your life in England?,Uh-huh . Uh-huh .,,,,,,,pending,
gold,gold-0076,"Also um I would er go through the Internet and um yeah, usually Internet is a great source",Hm .,Mh-hmm .,,,,,,,pending,
gold,gold-0077,"But then like maybe ten, eleven, twelve years ago, I thought ur well people who love to eat meat or eggs, eh eh that's fine",Mm-hm .,Mm-hm .,,,,,,,pending,
gold,gold-0078,I love be I love cat um bet um than I li I prefer cat to dogs,"Which do you like better, dog or cat?",O K. Why is that?,,,,,,,pending,
gold,gold-0079,That that was really terrible to him because the bike man said it's my brother's fault,. Um .,That's too bad .,,,,,,,pending,
gold,gold-0080,"I love er beer er and I er I also talk some of er happenings or er things happened while we no, he he was away",O K.,O K. Alright. Could you tell me the last time you ate in a restaurant?,,,,,,,pending,
gold,gold-0081,Mm the film was is very nice and great,,O K . You said you live alone. Right ?,,,,,,,pending,
gold,gold-0082,"So ahm I can't say that ah my my marriage life is ahm wonderful ,",I see. Um . Ahm . How do you enjoy your married life?,,,,,,,,pending,
gold,gold-0083,It's exciting er it's excited I I'm excited So I'm glad I was glad,Hum .,Hum . I see. O K. It sounds very fun. Thank you.,,,,,,,pending,
gold,gold-0084,"I love I love her and er she loves me,",Uhu .,Hm .,,,,,,,pending,
gold,gold-0085,"Yeah, so very er you know, the wonderful time",It's Sunday yesterday .,Mhmm .,,,,,,,pending,
gold,gold-0086,But the the rider was so angry because his his bike was broken,"O K, this happened in the past, so please make a story based on these six pictures. And please start with ""One day last week,""","O K, Thank you. Now Mister XXX02 , have you been involved in any car accident before in your life?",,,,,,,pending,
gold,gold-0087,I I I I don't think about I hate about per person that person,Um what do you think about people who leave their pets on the street?,Uh-huh .,,,,,,,pending,
gold,gold-0088,So they had a really wonderful day in the zoo,Sure.,"All right, thank you very much. So I think uh you see many couples in XXX03 campus. Young couples.",,,,,,,pending,
gold,gold-0089,"And these days, technology is really ur great",Mm-hm .,Mm .,,,,,,,pending,
gold,gold-0090,And he got angry with the man who hit him,Hisashi ? O K .,"Wow . Thank you very much. O K. XXX02 ,",,,,,,,pending,
gold,gold-0091,"And at the at night, it is very fantastic of er light",Hum .,I see. O K. Thank you.,,,,,,,pending,
gold,gold-0092,"And I really love him, so my favorite movie is",Uh-huh .,"O K. Yeah. I like that movie, too.",,,,,,,pending,
gold,gold-0093,And of course love means a boy and a girl,Mh-hmm .,Mm-hm .,,,,,,,pending,
gold,gold-0094,He has great skill of tennis,Wow,I see.,,,,,,,pending,
gold,gold-0095,I read it and very excited,How do you feel about it?,Uum . I see. Do you know about your host family?,,,,,,,pending,
gold,gold-0096,"We love there kind of , yes",Um . Good .,O K mhm-huh . And do you live with your family?,,,,,,,pending,
gold,gold-0097,Mm I think he is great actor,Why do you like him?,Why?,,,,,,,pending,
gold,gold-0098,You love horror movie,Oh I love horror movie .,,,,,,,,pending,
gold,gold-0099,Ur I love fishing in particular,Mhm .,Mhm .,,,,,,,pending,
gold,gold-0100,Erm Because I hate er cold days,"Um . So, why did you stop skiing?",,,,,,,,pending,
gold,gold-0101,Er well it was really terrible,Can you tell me what happened? How did you deal with that ?,he was lucky . Mm .,,,,,,,pending,
gold,gold-0102,Both course is great,Oh .,Oh I'm glad to hear that .,,,,,,,pending,
gold,gold-0103,Err I love Chinese Chinese dishes,Right. What's your specialty?,Hm .,,,,,,,pending,
gold,gold-0104,it's safety but food is terrible,Hum .,Really?,,,,,,,pending,
gold,gold-0105,So so so so well how much er how much money er do I need to buy it,"It yeah, it leaves in fifteen minutes.",Two hundred dollars .,,,,,,,pending,
gold,gold-0106,"Because urr err we like my husband I like having party but er so err our err party friend almost err people have no children or err already children grew up so err always yes, err I suggest, yes, please use my my house","O K. Yeah. Thank you very much. The role play is over. So, do you have any experience like this? You made appointment with your friend but you couldn't make ?","Uh-hum . O K. If you are in the situation like this role play ,",,,,,,,pending,
gold,gold-0107,Is it ur urm it's now it's winter but but now it's winter,Urr Indonesia or Malaysia.,Mhm,,,,,,,pending,
gold,gold-0108,"Or ur ""Please omit the or whatever is inside",Mm mm .,Mhm .,,,,,,,pending,
gold,gold-0109,"I'd like to pay by credit card, please",Would you like to pay er by credit card or by cash?,O K. It's ten thousand yen.,,,,,,,pending,
gold,gold-0110,How much does it cost to go by express,Yes. Of course.,Express. Ah thirty-five.,,,,,,,pending,
gold,gold-0111,And and how much is this um pack of cookies,Right this corner.,It's three thousand yen.,,,,,,,pending,
gold,gold-0112,please get err give me the express express ticket,We have express and semi er semi-express and local.,O K.,,,,,,,pending,
gold,gold-0113,So so then er do you know ah Milano za,I know I know every every place in Shinjuku. Yeah.,Mhm-huh .,,,,,,,pending,
gold,gold-0114,Well tough question because I lived in America when I was really small,O K. So could you compare this mm ski area in America to France?,Oh really?,,,,,,,pending,
gold,gold-0115,asked some question how the accident had happened Then,Yes. Please .,Uh-huh .,,,,,,,pending,
gold,gold-0116,"er how can you say, the taste",I see .,Mm-hum . Mm-huh .,,,,,,,pending,
gold,gold-0117,It's a very difficult question,what other things do you do to relax yourself?,Hm .,,,,,,,pending,
gold,gold-0118,So um and how much is it,O K. .,Ur it's one hundred dollars.,,,,,,,pending,
gold,gold-0119,Do you know Ryan Air,Umm .,No.,,,,,,,pending,
gold,gold-0120,"Er could you discount, please",Mh-hmm .,Ah no.,,,,,,,pending,
