annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Energy,reviewed_Humor,reviewer_id,review_status,reviewer_notes
pilot,train,pilot-0022,B,"Um, I don't think we have any great discussion at this point.",,,,pending,
pilot,train,pilot-0037,B,Maybe not uum not love story,,,,pending,
pilot,train,pilot-0054,B,"Okay, great. And what was the other restaurant, again?",,,,pending,
pilot,train,pilot-0052,B,Could you tell me how long that ride will take?,,,,pending,
pilot,train,pilot-0011,B,"I'm allergic to cats, too.",,,,pending,
pilot,train,pilot-0003,B,"and uh have a nice lunch, huh?",,,,pending,
pilot,train,pilot-0002,B,"We evaluated ourselves, we thought we were great.",,,,pending,
pilot,train,pilot-0028,B,Who directed this movie?,,,,pending,
pilot,train,pilot-0007,B,You love the eyes.,,,,pending,
pilot,train,pilot-0046,B,"Great, and is it currently busy there?",,,,pending,
pilot,train,pilot-0029,B,Erm but the theater is erm great,,,,pending,
pilot,train,pilot-0034,B,Who direct the movie?,,,,pending,
pilot,train,pilot-0015,B,That this will be a crux.,,,,pending,
pilot,train,pilot-0005,B,Can you uh push the button?,,,,pending,
pilot,train,pilot-0020,B,Is a cradle very cheap?,,,,pending,
pilot,train,pilot-0010,B,"If you look at your mobile phones are some stripes, little little holes.",,,,pending,
pilot,train,pilot-0009,B,Oh. Why do I pay you for?,,,,pending,
pilot,train,pilot-0030,B,Great. And how long is the estimated travel time?,,,,pending,
pilot,train,pilot-0013,B,I though it was brilliant no?,,,,pending,
pilot,train,pilot-0012,B,"Ye I think the can opener i is a brilliant idea actually, because television and beer is not a rare combination.",,,,pending,
pilot,train,pilot-0031,B,Oh that's that's great,,,,pending,
pilot,train,pilot-0036,B,"School life um I now, my school life is boring",,,,pending,
pilot,train,pilot-0039,B,Erm say as I see err that room is err very er lighter colors coordinate,,,,pending,
pilot,train,pilot-0016,B,So um obviously I personally have to say that dynamo is out of the question really.,,,,pending,
pilot,train,pilot-0051,B,Awesome. That's all I needed. Thank you.,,,,pending,
pilot,train,pilot-0006,B,So that could be a great um application.,,,,pending,
pilot,train,pilot-0053,B,Err i i it makes me surprise and uum I uh I had great fun,,,,pending,
pilot,train,pilot-0043,B,Because I I my my parents gave me a lot of love,,,,pending,
pilot,train,pilot-0026,B,"Wow, that's great. That's great. Thank you so much.",,,,pending,
pilot,train,pilot-0038,B,I I am I'm te terrible with dog,,,,pending,
pilot,train,pilot-0001,B,"the other components and the circuit board buttons, infrared, led, etcetera, for the components",,,,pending,
pilot,train,pilot-0033,B,"Mm that's wonderful, yeah",,,,pending,
pilot,train,pilot-0048,B,Great. Could you tell me what the prices are like at Shoki Ramen House?,,,,pending,
pilot,train,pilot-0040,B,"I I I think er normally, ee twenty twenty-four hours",,,,pending,
pilot,train,pilot-0032,B,Awesome. Hey. Who who directed this one?,,,,pending,
pilot,train,pilot-0047,B,Could you get me the phone number to that restaurant?,,,,pending,
pilot,train,pilot-0024,B,No. That'd be great.,,,,pending,
pilot,train,pilot-0035,B,Please pick up from Oakland Airport.,,,,pending,
pilot,train,pilot-0019,B,No it looks great.,,,,pending,
pilot,train,pilot-0008,B,"so you didn't st go off and think, wouldn't it be great to have a vibrating remote control shaped like a banana",,,,pending,
pilot,train,pilot-0021,B,"Okay, tha that would be great",,,,pending,
pilot,train,pilot-0041,B,"Hi, could you help me with ordering from Starbucks?",,,,pending,
pilot,train,pilot-0004,B,but it will be terrible.,,,,pending,
pilot,train,pilot-0027,B,It keeps stalling at long traffic lights.,,,,pending,
pilot,train,pilot-0025,B,"Hey, I'm great. Almost done at work and want to order some pizzas for pickup from Bella Luna.",,,,pending,
pilot,train,pilot-0044,B,Yeah. I need to order a pizza from Bella Luna.,,,,pending,
pilot,train,pilot-0049,B,Err I love yu you and your friends and me my friends,,,,pending,
pilot,train,pilot-0050,B,And how much eh is it to New York,,,,pending,
pilot,train,pilot-0018,B,I think we are great.,,,,pending,
pilot,train,pilot-0023,B,That's a great idea,,,,pending,
pilot,train,pilot-0042,B,"Recently, I never been to shopping Because I love skiing",,,,pending,
pilot,train,pilot-0014,B,Did uh did you guys get the email I sent you?,,,,pending,
pilot,train,pilot-0045,B,"So urm for example, if I punched my friends, when when my father look looked the situation, ur he will got angry",,,,pending,
pilot,train,pilot-0017,B,So you are display on the screen.,,,,pending,
