row_id,utterance,draft_Formality,draft_Energy,draft_Intimacy,draft_Humor,draft_Curiosity,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,style,sample_bucket,notes,source_line,label_status
1,Do you like living alone,36,35,22,6,84,36,35,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",102298,human_reviewed
2,So er could you please booked er first train for me,56,35,34,6,74,56,35,34,6,74,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",60787,human_reviewed
3,Where do you live,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",27932,human_reviewed
4,"Do you have something,",36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",39391,human_reviewed
5,Uh so should I read it,36,35,32,6,66,36,35,32,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",74149,human_reviewed
6,Can I can I er could you please give me the ticket,56,31,34,6,92,56,31,34,6,92,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",23175,human_reviewed
7,How do you like,36,35,22,6,84,36,35,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",90750,human_reviewed
8,"And so, could you come to my my room and che check it and started start the repair my broken window today",52,39,34,6,84,52,39,34,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",5272,human_reviewed
9,Can I start,53,24,30,6,92,53,24,30,6,92,learner_question,question,"draft label for human review: question, question/request signal",43087,human_reviewed
10,Can I call I,53,24,30,6,92,53,24,30,6,92,learner_question,question,"draft label for human review: question, question/request signal",81570,human_reviewed
11,Is this role playing,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",116063,human_reviewed
12,who are chattering with other students,43,28,24,6,84,43,28,24,6,84,learner_question,question,"draft label for human review: question, question/request signal",69179,human_reviewed
13,What is advantage,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",50744,human_reviewed
14,So would you please ah would you please have a lunch ah next next Sunday,56,35,26,6,92,56,35,26,6,92,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",110578,human_reviewed
15,What kind of food,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",46718,human_reviewed
16,Do you know,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",78155,human_reviewed
17,How did you buy,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",46170,human_reviewed
18,Is it is it all,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",44905,human_reviewed
19,"Do you know the "" Sen-to-Chihiro-no-kamikakushi "" erm which is erm which is very popular nowadays, and erm have you every watch it",42,47,24,6,84,42,47,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",82926,human_reviewed
20,what do I buy,36,27,30,6,84,36,27,30,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",17772,human_reviewed
21,Did you like it,36,35,22,6,84,36,35,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",16542,human_reviewed
22,do you like movie,36,35,22,10,84,36,35,22,10,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",120983,human_reviewed
23,So how about meet at Shin ur J R Shinjuku Station,36,35,24,6,84,36,35,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",112498,human_reviewed
24,Do you know uh do you know contemporary art,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",20128,human_reviewed
25,Why did you decide,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",119122,human_reviewed
26,How are you,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",120962,human_reviewed
27,So can you can you go with me,36,35,32,6,84,36,35,32,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",10827,human_reviewed
28,So can you mm pay back the money for this er ticket or exchange exchange this for as a er ticket for a later er later train er the train will be departured later,42,39,24,6,84,42,39,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",105570,human_reviewed
29,"So, can you can you talk with your manager",36,35,24,6,84,36,35,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",93041,human_reviewed
30,What kind of variety could you err serve serve for me,46,31,34,6,84,46,31,34,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",90425,human_reviewed
31,how about meeting in the uhm Umeda Station,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",36365,human_reviewed
32,Is it called Japanese,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",97298,human_reviewed
33,So er do you have the fast train,36,35,24,6,66,36,35,24,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",123386,human_reviewed
34,Is there ah something is there anything,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",15399,human_reviewed
35,Oh what kind of train,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",12456,human_reviewed
36,How do you do,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",27437,human_reviewed
37,are that are you alone,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",99023,human_reviewed
38,Well do you have any black jackets,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",117864,human_reviewed
39,How do I relax,36,27,30,6,84,36,27,30,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",117781,human_reviewed
40,um do I should,36,27,30,6,66,36,27,30,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",83219,human_reviewed
41,Um would you show me the your um your item,46,31,34,6,66,46,31,34,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",110247,human_reviewed
42,And how about,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",20166,human_reviewed
43,and do you have this uum err do you have uum this,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",126323,human_reviewed
