review_set,review_id,utterance,source,source_group,source_record_id,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
gold,gold-0001,"hand dynamos are definitely out, right?",ami_real,ES2006c,ES2006c.A.dialog-act.s9553330.217,,,,,,,pending,
gold,gold-0002,"Um the flat co completely flat case is definitely out, right?",ami_real,ES2006c,ES2006c.A.dialog-act.s9553330.233,,,,,,,pending,
gold,gold-0003,"and uh, what can you say, you got to love those qualities in an animal.",ami_real,ES2003a,ES2003a.B.dialog-act.vkaraisk.72,,,,,,,pending,
gold,gold-0004,or is that a bit ridiculous?,ami_real,ES2003a,ES2003a.D.dialog-act.vkaraisk.41,,,,,,,pending,
gold,gold-0005,Is there more room for creativity or are we absolutely happy?,ami_real,IS1009d,IS1009d.A.dialog-act.dharshi.201,,,,,,,pending,
gold,gold-0006,We definitely need to focus on a new modern appearance,ami_real,ES2016b,ES2016b.D.dialog-act.vkaraisk.95,,,,,,,pending,
gold,gold-0007,Definitely in the vegetable drawer.,ami_real,ES2008d,ES2008d.B.dialog-act.vkaraisk.421,,,,,,,pending,
gold,gold-0008,This sounds like a really great idea.,ami_real,ES2015b,ES2015b.A.dialog-act.dharshi.36,,,,,,,pending,
gold,gold-0009,like Smallville terrible television show,ami_real,ES2009a,ES2009a.A.dialog-act.vkaraisk.148,,,,,,,pending,
gold,gold-0010,"Well the managers were terrible. So, with their all their useless requirements.",ami_real,TS3009d,TS3009d.A.dialog-act.s9553330.296,,,,,,,pending,
gold,gold-0011,although I think some of the suggestions we've come up with are definitely uh very good ideas.,ami_real,ES2009c,ES2009c.C.dialog-act.vkaraisk.59,,,,,,,pending,
gold,gold-0012,because I know that's it's definitely gonna be big,ami_real,ES2010c,ES2010c.D.dialog-act.dharshi.135,,,,,,,pending,
gold,gold-0013,I mean mm we we definitely need the the numbers,ami_real,ES2006c,ES2006c.D.dialog-act.s9553330.140,,,,,,,pending,
gold,gold-0014,"Uh hello, we're great.",ami_real,ES2010d,ES2010d.A.dialog-act.dharshi.50,,,,,,,pending,
gold,gold-0015,but those are the definitely the top ones.,ami_real,ES2010b,ES2010b.D.dialog-act.dharshi.51,,,,,,,pending,
gold,gold-0016,and so she thinks this is a great feature uh to to to consider.,ami_real,IS1009d,IS1009d.A.dialog-act.dharshi.27,,,,,,,pending,
gold,gold-0017,"colour, I think I definitely have a preference towards bright yellow with black buttons",ami_real,ES2013d,ES2013d.C.dialog-act.vkaraisk.61,,,,,,,pending,
gold,gold-0018,"well if we can do that, great.",ami_real,ES2002c,ES2002c.B.dialog-act.dharshi.301,,,,,,,pending,
gold,gold-0019,One means absolutely not true,ami_real,TS3005d,TS3005d.D.dialog-act.vkaraisk.29,,,,,,,pending,
gold,gold-0020,"If we have scroll things on the side, we definitely have to have 'em labelled.",ami_real,ES2010c,ES2010c.D.dialog-act.dharshi.159,,,,,,,pending,
gold,gold-0021,"Just nice feel, but I hate spongy.",ami_real,ES2011c,ES2011c.D.dialog-act.dharshi.86,,,,,,,pending,
gold,gold-0022,"No, no, definitely not.",ami_real,ES2008d,ES2008d.B.dialog-act.vkaraisk.459,,,,,,,pending,
gold,gold-0023,I think it's definitely got to be a a one-handed a one-handed job.,ami_real,ES2016a,ES2016a.C.dialog-act.vkaraisk.119,,,,,,,pending,
gold,gold-0024,"But it would definitely crop cost, a lot.",ami_real,TS3003d,TS3003d.A.dialog-act.vkaraisk.178,,,,,,,pending,
gold,gold-0025,"And if you have a touch screen in it, it's definitely too too fragile uh fragile.",ami_real,TS3004a,TS3004a.A.dialog-act.vkaraisk.245,,,,,,,pending,
gold,gold-0026,"Oh, that's just great.",ami_real,TS3009d,TS3009d.D.dialog-act.s9553330.143,,,,,,,pending,
gold,gold-0027,which is an awful lot,ami_real,ES2003d,ES2003d.B.dialog-act.vkaraisk.109,,,,,,,pending,
gold,gold-0028,"Yeah. Well, that's great.",ami_real,ES2015b,ES2015b.B.dialog-act.dharshi.293,,,,,,,pending,
gold,gold-0029,I think we'd have to decide between 'em definitely.,ami_real,ES2009c,ES2009c.D.dialog-act.vkaraisk.130,,,,,,,pending,
gold,gold-0030,I think that's definitely important.,ami_real,ES2016b,ES2016b.D.dialog-act.vkaraisk.59,,,,,,,pending,
gold,gold-0031,but definitely we know the market is there for voice recognition,ami_real,ES2009c,ES2009c.D.dialog-act.vkaraisk.138,,,,,,,pending,
gold,gold-0032,"Um, I definitely have to agree with that last comment.",ami_real,ES2009c,ES2009c.C.dialog-act.vkaraisk.98,,,,,,,pending,
gold,gold-0033,they're just not great to use.,ami_real,ES2003b,ES2003b.C.dialog-act.vkaraisk.55,,,,,,,pending,
gold,gold-0034,and uh fantastic pets,ami_real,ES2013a,ES2013a.C.dialog-act.vkaraisk.11,,,,,,,pending,
gold,gold-0035,I mean there's also the cachet that um uh the Japanese make great products.,ami_real,ES2013a,ES2013a.D.dialog-act.vkaraisk.42,,,,,,,pending,
gold,gold-0036,But definitely not well I don't know.,ami_real,ES2011a,ES2011a.D.dialog-act.dharshi.66,,,,,,,pending,
gold,gold-0037,"Hey, that's actually a brilliant uh marketing stand.",ami_real,TS3007d,TS3007d.C.dialog-act.dharshi.51,,,,,,,pending,
gold,gold-0038,I mean titanium would be great,ami_real,ES2013c,ES2013c.C.dialog-act.vkaraisk.98,,,,,,,pending,
gold,gold-0039,"and if you're making twelve point five Euros on each one, then, awful lot need to be sold.",ami_real,ES2003a,ES2003a.B.dialog-act.vkaraisk.86,,,,,,,pending,
gold,gold-0040,"and the remote control was not a great kind of keyboar, um keypad, for playing games.",ami_real,ES2003a,ES2003a.C.dialog-act.vkaraisk.52,,,,,,,pending,
gold,gold-0041,rubber is not expensive. Definitely.,ami_real,TS3012c,TS3012c.A.dialog-act.vkaraisk.714,,,,,,,pending,
gold,gold-0042,the the whole mango idea was great.,ami_real,ES2008d,ES2008d.D.dialog-act.vkaraisk.248,,,,,,,pending,
gold,gold-0043,I think we should definitely go ahead with the alarm system idea that you had.,ami_real,ES2015b,ES2015b.A.dialog-act.dharshi.182,,,,,,,pending,
gold,gold-0044,which may not be a great idea in Europe or any country that has seasons 'cause half the year you'd be dead.,ami_real,ES2002c,ES2002c.A.dialog-act.dharshi.96,,,,,,,pending,
gold,gold-0045,you two created that wonderful specimen of a Play-Doh model.,ami_real,ES2004d,ES2004d.B.dialog-act.vkaraisk.241,,,,,,,pending,
gold,gold-0046,we'll definitely won't go with that one.,ami_real,ES2003d,ES2003d.B.dialog-act.vkaraisk.171,,,,,,,pending,
gold,gold-0047,but it sounds fantastic.,ami_real,ES2013c,ES2013c.C.dialog-act.vkaraisk.171,,,,,,,pending,
gold,gold-0048,"so yellow, lemon, you know definitely food for thought there",ami_real,ES2002c,ES2002c.B.dialog-act.dharshi.73,,,,,,,pending,
gold,gold-0049,Now don't get excited yet,ami_real,ES2003b,ES2003b.C.dialog-act.vkaraisk.60,,,,,,,pending,
gold,gold-0050,Um we should definitely avoid the big square block look.,ami_real,ES2002c,ES2002c.C.dialog-act.dharshi.45,,,,,,,pending,
gold,gold-0051,"I suggest, because just the availability with rubber to make fantastic colours uh and also in a lot of possible colours, so it's possible to make very uh fancy uh remote controls",ami_real,TS3005c,TS3005c.C.dialog-act.vkaraisk.108,,,,,,,pending,
gold,gold-0052,It it most definitely is it's very easy.,ami_real,TS3011d,TS3011d.C.dialog-act.vkaraisk.144,,,,,,,pending,
gold,gold-0053,but they are awesome.,ami_real,ES2010d,ES2010d.D.dialog-act.dharshi.145,,,,,,,pending,
gold,gold-0054,"Great, wonderful Ron, cool.",ami_real,ES2009c,ES2009c.A.dialog-act.vkaraisk.96,,,,,,,pending,
gold,gold-0055,Well great I think.,ami_real,TS3009d,TS3009d.A.dialog-act.s9553330.302,,,,,,,pending,
gold,gold-0056,but that one is terrible.,ami_real,TS3009d,TS3009d.B.dialog-act.s9553330.209,,,,,,,pending,
gold,gold-0057,"Yeah, definitely, yeah, two mu mute buttons.",ami_real,IS1009d,IS1009d.C.dialog-act.dharshi.137,,,,,,,pending,
gold,gold-0058,I think definitely doing something different,ami_real,ES2016a,ES2016a.C.dialog-act.vkaraisk.106,,,,,,,pending,
gold,gold-0059,but obviously no one's put any great deal of thought into it.,ami_real,ES2004d,ES2004d.B.dialog-act.vkaraisk.266,,,,,,,pending,
gold,gold-0060,It is more trendy. That's definitely true.,ami_real,TS3012c,TS3012c.B.dialog-act.vkaraisk.299,,,,,,,pending,
gold,gold-0061,this is definitely the best one.,ami_real,TS3004a,TS3004a.A.dialog-act.vkaraisk.186,,,,,,,pending,
gold,gold-0062,So I think that basically we've got a great product and we can get off and running with it.,ami_real,IS1009d,IS1009d.D.dialog-act.dharshi.173,,,,,,,pending,
gold,gold-0063,but it's not absolutely necessary.,ami_real,ES2003d,ES2003d.A.dialog-act.vkaraisk.24,,,,,,,pending,
gold,gold-0064,I introduce to the world the amazing ant.,ami_real,TS3012a,TS3012a.A.dialog-act.vkaraisk.145,,,,,,,pending,
gold,gold-0065,I think it's great.,ami_real,TS3009d,TS3009d.A.dialog-act.s9553330.101,,,,,,,pending,
gold,gold-0066,I think you did an awesome job.,ami_real,ES2010d,ES2010d.A.dialog-act.dharshi.25,,,,,,,pending,
gold,gold-0067,so we're definitely going for rubber.,ami_real,TS3012c,TS3012c.A.dialog-act.vkaraisk.306,,,,,,,pending,
gold,gold-0068,If we're aiming for fifty million Euros we're gonna have to be selling an awful lot of them.,ami_real,ES2003a,ES2003a.B.dialog-act.vkaraisk.82,,,,,,,pending,
gold,gold-0069,It's great. That's great. It's a great feature.,ami_real,IS1002d,IS1002d.D.dialog-act.dharshi.13,,,,,,,pending,
gold,gold-0070,you did a great job,ami_real,ES2010d,ES2010d.A.dialog-act.dharshi.241,,,,,,,pending,
gold,gold-0071,You can harness the awesome power,ami_real,ES2009a,ES2009a.A.dialog-act.vkaraisk.268,,,,,,,pending,
gold,gold-0072,"Um, the solar power definitely would be",ami_real,ES2009c,ES2009c.B.dialog-act.vkaraisk.142,,,,,,,pending,
gold,gold-0073,"I mean, it's not a one, definitely.",ami_real,ES2007d,ES2007d.D.dialog-act.dharshi.128,,,,,,,pending,
gold,gold-0074,"I've, I've definitely eaten it before.",ami_real,ES2007d,ES2007d.C.dialog-act.dharshi.1,,,,,,,pending,
gold,gold-0075,I think the spinning wheel is definitely very now.,ami_real,ES2006c,ES2006c.B.dialog-act.s9553330.169,,,,,,,pending,
gold,gold-0076,"If it's kinda small, this is is great.",ami_real,TS3009d,TS3009d.D.dialog-act.s9553330.13,,,,,,,pending,
gold,gold-0077,I think we could definitely eliminate,ami_real,ES2016b,ES2016b.D.dialog-act.vkaraisk.73,,,,,,,pending,
gold,gold-0078,if it has English sub-titles it's definitely helpful.,ami_real,ES2010b,ES2010b.D.dialog-act.dharshi.146,,,,,,,pending,
gold,gold-0079,And our colour I think is great.,ami_real,IS1009d,IS1009d.D.dialog-act.dharshi.167,,,,,,,pending,
gold,gold-0080,I think that's brilliant.,ami_real,ES2004d,ES2004d.C.dialog-act.vkaraisk.236,,,,,,,pending,
gold,gold-0081,Yeah. It's a great idea. It's a great idea.,ami_real,ES2015a,ES2015a.A.dialog-act.dharshi.142,,,,,,,pending,
gold,gold-0082,I mean definitely the area round it.,ami_real,ES2011c,ES2011c.A.dialog-act.dharshi.120,,,,,,,pending,
gold,gold-0083,I love it. I love it. I think it's cool.,ami_real,ES2007d,ES2007d.D.dialog-act.dharshi.166,,,,,,,pending,
gold,gold-0084,"I think I think it's great, yeah, great idea.",ami_real,ES2007d,ES2007d.A.dialog-act.dharshi.36,,,,,,,pending,
gold,gold-0085,It was such a great idea.,ami_real,TS3005d,TS3005d.B.dialog-act.vkaraisk.483,,,,,,,pending,
gold,gold-0086,Uh as you all know we're here to create a brand new fantastic remote.,ami_real,ES2016a,ES2016a.A.dialog-act.vkaraisk.8,,,,,,,pending,
gold,gold-0087,I hate those little things,ami_real,ES2004c,ES2004c.B.dialog-act.dharshi.40,,,,,,,pending,
gold,gold-0088,You with your brilliant ideas.,ami_real,TS3008a,TS3008a.D.dialog-act.dharshi.10,,,,,,,pending,
gold,gold-0089,We're definitely focussing on the younger people,ami_real,TS3012c,TS3012c.A.dialog-act.vkaraisk.167,,,,,,,pending,
gold,gold-0090,This would definitely be different enough,ami_real,ES2004c,ES2004c.D.dialog-act.dharshi.195,,,,,,,pending,
gold,gold-0091,And uh and I definitely support uh the use of plastic and or rubber.,ami_real,ES2013c,ES2013c.C.dialog-act.vkaraisk.97,,,,,,,pending,
gold,gold-0092,"Um, and the rubber case requires rubber buttons, so if we definitely want plastic buttons, we shouldn't have a rubber case.",ami_real,ES2011c,ES2011c.B.dialog-act.dharshi.22,,,,,,,pending,
gold,gold-0093,And I think the voice recognition sounds wonderful,ami_real,ES2004d,ES2004d.D.dialog-act.vkaraisk.240,,,,,,,pending,
gold,gold-0094,also a uh two?,ami_real,TS3011d,TS3011d.D.dialog-act.vkaraisk.46,,,,,,,pending,
gold,gold-0095,"Should volume be important in the joystick, do you think?",ami_real,ES2003b,ES2003b.D.dialog-act.vkaraisk.77,,,,,,,pending,
gold,gold-0096,"You picked a hard one, didn't you?",ami_real,TS3012a,TS3012a.B.dialog-act.vkaraisk.38,,,,,,,pending,
gold,gold-0097,"whatever, have to buy one every half a year?",ami_real,ES2016a,ES2016a.B.dialog-act.vkaraisk.28,,,,,,,pending,
gold,gold-0098,Could these be used for going to submenus,ami_real,ES2008d,ES2008d.A.dialog-act.vkaraisk.105,,,,,,,pending,
gold,gold-0099,Is it easy to get lost?,ami_real,ES2007d,ES2007d.D.dialog-act.dharshi.122,,,,,,,pending,
gold,gold-0100,what can we reduce?,ami_real,ES2008d,ES2008d.A.dialog-act.vkaraisk.260,,,,,,,pending,
gold,gold-0101,has anybody got like an overall picture in their mind about what what might work?,ami_real,ES2002c,ES2002c.B.dialog-act.dharshi.158,,,,,,,pending,
