annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
calibration,dev,calibration-0038,C,I will have my hair cut,,,,,,,pending,
calibration,dev,calibration-0072,C,I'm going to eat at Le Beau today. Can I get their phone number?,,,,,,,pending,
calibration,dev,calibration-0056,C,"Oh great And you know, uum on December first,",,,,,,,pending,
calibration,dev,calibration-0070,C,"Okay, great. Now, who directed the movie called War?",,,,,,,pending,
calibration,dev,calibration-0061,C,That definitely sounds good. Could I make a reservation for that one?,,,,,,,pending,
calibration,dev,calibration-0043,C,We have a uh great location we live in great location to see and to take a picture,,,,,,,pending,
calibration,dev,calibration-0077,C,I'm doing great. How are you doing?,,,,,,,pending,
calibration,dev,calibration-0087,C,Great. Could I get a black and white mocha?,,,,,,,pending,
calibration,dev,calibration-0066,C,What's the estimated time of arrival?,,,,,,,pending,
calibration,dev,calibration-0057,C,And they er he mm he has a computer and and er so great stereo set,,,,,,,pending,
calibration,dev,calibration-0006,C,Do we really need that?,,,,,,,pending,
calibration,dev,calibration-0048,C,"And I'm really sorry but if there's another chance to go, then I would definitely want to go, too",,,,,,,pending,
calibration,dev,calibration-0059,C,But um luxurious food is very uum expensive for me,,,,,,,pending,
calibration,dev,calibration-0058,C,So she so her heart is ah very mm excited then,,,,,,,pending,
calibration,dev,calibration-0016,C,Digital pen is horrible.,,,,,,,pending,
calibration,dev,calibration-0009,C,but what if it was kind of uh a stylised banana?,,,,,,,pending,
calibration,dev,calibration-0060,C,"Actually, I hate the the crowded train, so if I can get up early, earlier than , uum I can take more earlier train But I , so, yeah, very difficult",,,,,,,pending,
calibration,dev,calibration-0013,C,"And also um I will ask the Market Expert to uh try to find out what are the absolute requirements, what is absolutely needed in a remote control uh for the user.",,,,,,,pending,
calibration,dev,calibration-0023,C,"If we try to tell people it has too many great features, um the consumer just gets confused and we don't get anywhere.",,,,,,,pending,
calibration,dev,calibration-0007,C,and I get to do another fantastic PowerPoint presentation.,,,,,,,pending,
calibration,dev,calibration-0086,C,"Yes, two tickets, please.",,,,,,,pending,
calibration,dev,calibration-0090,C,Yeah. How long does the trip take normally?,,,,,,,pending,
calibration,dev,calibration-0052,C,And actually the flower is er always that there are a lot of flowers in Bali Island So the smell is really nice So I love to be in Bali,,,,,,,pending,
calibration,dev,calibration-0068,C,Does Miss Saigon serve alcoholic beverages?,,,,,,,pending,
calibration,dev,calibration-0055,C,We love we love my our car,,,,,,,pending,
calibration,dev,calibration-0084,C,Could I have some whipped cream on top? That'd be great.,,,,,,,pending,
calibration,dev,calibration-0002,C,"It's definitely channel, volume, power.",,,,,,,pending,
calibration,dev,calibration-0028,C,'cause you haven't drawn the ears?,,,,,,,pending,
calibration,dev,calibration-0045,C,then Ken hit the back of the motor cycle and the man who was on the motor cycle was very angry about that And they both argued,,,,,,,pending,
calibration,dev,calibration-0085,C,What type of ride is it?,,,,,,,pending,
calibration,dev,calibration-0020,C,you think it won't cost an Not a lot for us?,,,,,,,pending,
calibration,dev,calibration-0076,C,Yes. Who directed the movie?,,,,,,,pending,
calibration,dev,calibration-0004,C,"But um, I think the logo would definitely be recognisable.",,,,,,,pending,
calibration,dev,calibration-0010,C,which is something that definitely appeals to younger people.,,,,,,,pending,
calibration,dev,calibration-0081,C,Can you book me a ticket for The Kid Who Would Be King?,,,,,,,pending,
calibration,dev,calibration-0027,C,So uh any any thoughts?,,,,,,,pending,
calibration,dev,calibration-0011,C,And and we're gonna make it we're gonna win mind-share by uh either being a fantastic product,,,,,,,pending,
calibration,dev,calibration-0035,C,Yeah So I I love red red color So do you have any red sweater,,,,,,,pending,
calibration,dev,calibration-0034,C,Oh I like it I love it,,,,,,,pending,
calibration,dev,calibration-0089,C,"Okay, how long will the trip be? Okay, great. Thank you so much.",,,,,,,pending,
calibration,dev,calibration-0041,C,"Also, I I I like to spent or ah no no no no, I I I love shopping",,,,,,,pending,
calibration,dev,calibration-0044,C,I think so I definitely,,,,,,,pending,
calibration,dev,calibration-0053,C,What time is best for you,,,,,,,pending,
calibration,dev,calibration-0063,C,Awesome. Thank you so much.,,,,,,,pending,
calibration,dev,calibration-0075,C,Hi. Could you help me with setting up an appointment at Intelligent auto imports?,,,,,,,pending,
calibration,dev,calibration-0031,C,"urm so ee when I watch the movie, ee I am excited",,,,,,,pending,
calibration,dev,calibration-0001,C,that you can usually do that with uh either a old old remote control if they really hate that thing,,,,,,,pending,
calibration,dev,calibration-0017,C,I've got some other things,,,,,,,pending,
calibration,dev,calibration-0080,C,Thank you so much for your help. I appreciate that. Have a wonderful weekend.,,,,,,,pending,
calibration,dev,calibration-0082,C,Are we all good to go? Awesome. Thank you so much.,,,,,,,pending,
calibration,dev,calibration-0005,C,"It was, wasn't it?",,,,,,,pending,
calibration,dev,calibration-0065,C,"Okay. Do I need to reserve certain seats, or is this just open seating?",,,,,,,pending,
calibration,dev,calibration-0039,C,I love Ca Canada very much,,,,,,,pending,
calibration,dev,calibration-0022,C,so we can save on the batteries,,,,,,,pending,
calibration,dev,calibration-0019,C,So that would be great for that.,,,,,,,pending,
calibration,dev,calibration-0047,C,"And there is many there are many, many fishes, corals So so fantastic",,,,,,,pending,
calibration,dev,calibration-0046,C,I I hate choice of mm products,,,,,,,pending,
calibration,dev,calibration-0021,C,"and provide you ways of using them, I dunno, somehow",,,,,,,pending,
calibration,dev,calibration-0050,C,"So, what time do you want to go there",,,,,,,pending,
calibration,dev,calibration-0074,C,"Nope, that will be all. Oh. Oh, yes. Actually, can you tell me who stars in the film?",,,,,,,pending,
calibration,dev,calibration-0078,C,"Great. Before you go, can you tell me who the director is of the movie?",,,,,,,pending,
calibration,dev,calibration-0030,C,It's definitely significantly harder once you are doing it.,,,,,,,pending,
calibration,dev,calibration-0073,C,"No, could you please give me the address?",,,,,,,pending,
calibration,dev,calibration-0083,C,"Oh, that's great. And could you tell me if the restaurants have serve alcohol?",,,,,,,pending,
calibration,dev,calibration-0032,C,What is what do you recommend to me to souvenir to my friends,,,,,,,pending,
calibration,dev,calibration-0029,C,Supposed to have a great memory,,,,,,,pending,
calibration,dev,calibration-0015,C,I think most definitely.,,,,,,,pending,
calibration,dev,calibration-0033,C,"Yeah, I will absolutely be there",,,,,,,pending,
calibration,dev,calibration-0026,C,or shall we leave that for now?,,,,,,,pending,
calibration,dev,calibration-0064,C,"That sounds great. Can we please go start making a to book a reservation, please?",,,,,,,pending,
calibration,dev,calibration-0040,C,"It's not great like Japan, or eh it's a small city",,,,,,,pending,
calibration,dev,calibration-0079,C,"Fantastic. No, that's fine. I got that, thank you.",,,,,,,pending,
calibration,dev,calibration-0037,C,Um then what are there any other options that you can do,,,,,,,pending,
calibration,dev,calibration-0025,C,"Maybe we'll discuss this later, no?",,,,,,,pending,
calibration,dev,calibration-0062,C,"Great, thank you. Please process my order.",,,,,,,pending,
calibration,dev,calibration-0042,C,"I'll look around other corners, so, would you please negotiate your manager",,,,,,,pending,
calibration,dev,calibration-0049,C,"But, most er comparing to stay hotel, it is uncomfortable but it was uncomfortable But, anyway the silence is great",,,,,,,pending,
calibration,dev,calibration-0067,C,"Great, do they have a reservation?",,,,,,,pending,
calibration,dev,calibration-0012,C,"Uh, okay, definitely easy to use.",,,,,,,pending,
calibration,dev,calibration-0088,C,Have a great day. Bye.,,,,,,,pending,
calibration,dev,calibration-0014,C,"Yes. Yes, yes this is Yes definitely a horse. Yes.",,,,,,,pending,
calibration,dev,calibration-0024,C,which make it uh like new also.,,,,,,,pending,
calibration,dev,calibration-0036,C,"already take trains ev everyday in weekdays So, I hate",,,,,,,pending,
calibration,dev,calibration-0071,C,Can we do tomorrow in the afternoon?,,,,,,,pending,
calibration,dev,calibration-0018,C,Um there are two target audi audiences,,,,,,,pending,
calibration,dev,calibration-0051,C,And what time is it convenient for you,,,,,,,pending,
calibration,dev,calibration-0054,C,So they they always ask me to from simple question or um very difficult question I do I don't know,,,,,,,pending,
calibration,dev,calibration-0003,C,"Yeah, definitely. Just bring more designs on the market.",,,,,,,pending,
calibration,dev,calibration-0008,C,then we'll come back to the chip I suppose.,,,,,,,pending,
calibration,dev,calibration-0069,C,Can you repeat the address to me?,,,,,,,pending,
